entry(00000,begin_of_process,frustrated,video1813740143,start,1).
entry(00001,begin_of_activity,frustrated,video1813740143,au05,1).
entry(00100,begin_of_activity,frustrated,video1813740143,au02,1).
entry(00101,begin_of_activity,frustrated,video1813740143,au04,1).
entry(00102,end_of_activity,frustrated,video1813740143,au05,1).
entry(00200,end_of_activity,frustrated,video1813740143,au02,1).
entry(00201,end_of_activity,frustrated,video1813740143,au04,1).
entry(00202,begin_of_activity,frustrated,video1813740143,au05,2).
entry(00300,begin_of_activity,frustrated,video1813740143,au04,2).
entry(00301,end_of_activity,frustrated,video1813740143,au05,2).
entry(00400,end_of_activity,frustrated,video1813740143,au04,2).
entry(00401,begin_of_activity,frustrated,video1813740143,au05,3).
entry(00500,end_of_activity,frustrated,video1813740143,au05,3).
entry(00600,begin_of_activity,frustrated,video1813740143,au04,3).
entry(00601,begin_of_activity,frustrated,video1813740143,au05,4).
entry(00700,end_of_activity,frustrated,video1813740143,au04,3).
entry(00701,end_of_activity,frustrated,video1813740143,au05,4).
entry(00800,begin_of_activity,frustrated,video1813740143,au05,5).
entry(00900,begin_of_activity,frustrated,video1813740143,au04,4).
entry(00901,end_of_activity,frustrated,video1813740143,au05,5).
entry(01000,end_of_activity,frustrated,video1813740143,au04,4).
entry(01001,begin_of_activity,frustrated,video1813740143,au05,6).
entry(01100,begin_of_activity,frustrated,video1813740143,au02,2).
entry(01101,end_of_activity,frustrated,video1813740143,au05,6).
entry(01200,end_of_activity,frustrated,video1813740143,au02,2).
entry(01201,begin_of_activity,frustrated,video1813740143,au04,5).
entry(01202,begin_of_activity,frustrated,video1813740143,au05,7).
entry(01300,end_of_activity,frustrated,video1813740143,au04,5).
entry(01301,end_of_activity,frustrated,video1813740143,au05,7).
entry(01400,begin_of_activity,frustrated,video1813740143,au04,6).
entry(01401,begin_of_activity,frustrated,video1813740143,au05,8).
entry(01500,end_of_activity,frustrated,video1813740143,au04,6).
entry(01501,end_of_activity,frustrated,video1813740143,au05,8).
entry(01600,begin_of_activity,frustrated,video1813740143,au02,3).
entry(01601,begin_of_activity,frustrated,video1813740143,au43,1).
entry(01700,end_of_activity,frustrated,video1813740143,au02,3).
entry(01701,begin_of_activity,frustrated,video1813740143,au04,7).
entry(01702,begin_of_activity,frustrated,video1813740143,au17,1).
entry(01703,end_of_activity,frustrated,video1813740143,au43,1).
entry(01800,end_of_activity,frustrated,video1813740143,au04,7).
entry(01801,end_of_activity,frustrated,video1813740143,au17,1).
entry(01802,begin_of_activity,frustrated,video1813740143,au43,2).
entry(01900,begin_of_activity,frustrated,video1813740143,au04,8).
entry(01901,end_of_activity,frustrated,video1813740143,au43,2).
entry(02000,end_of_activity,frustrated,video1813740143,au04,8).
entry(02200,begin_of_activity,frustrated,video1813740143,au04,9).
entry(02300,end_of_activity,frustrated,video1813740143,au04,9).
entry(02400,begin_of_activity,frustrated,video1813740143,au04,10).
entry(02500,end_of_activity,frustrated,video1813740143,au04,10).
entry(02600,begin_of_activity,frustrated,video1813740143,au04,11).
entry(02601,begin_of_activity,frustrated,video1813740143,au05,9).
entry(02700,end_of_activity,frustrated,video1813740143,au04,11).
entry(02701,end_of_activity,frustrated,video1813740143,au05,9).
entry(02800,begin_of_activity,frustrated,video1813740143,au04,12).
entry(02900,end_of_activity,frustrated,video1813740143,au04,12).
entry(02901,begin_of_activity,frustrated,video1813740143,au05,10).
entry(03000,end_of_activity,frustrated,video1813740143,au05,10).
entry(03300,begin_of_activity,frustrated,video1813740143,au05,11).
entry(03400,end_of_activity,frustrated,video1813740143,au05,11).
entry(03600,begin_of_activity,frustrated,video1813740143,au02,4).
entry(03601,begin_of_activity,frustrated,video1813740143,au04,13).
entry(03602,begin_of_activity,frustrated,video1813740143,au17,2).
entry(03700,end_of_activity,frustrated,video1813740143,au02,4).
entry(03701,end_of_activity,frustrated,video1813740143,au04,13).
entry(03702,begin_of_activity,frustrated,video1813740143,au07,1).
entry(03703,end_of_activity,frustrated,video1813740143,au17,2).
entry(03704,begin_of_activity,frustrated,video1813740143,au43,3).
entry(03800,begin_of_activity,frustrated,video1813740143,au01,1).
entry(03801,end_of_activity,frustrated,video1813740143,au07,1).
entry(03802,begin_of_activity,frustrated,video1813740143,au17,3).
entry(03803,end_of_activity,frustrated,video1813740143,au43,3).
entry(03900,end_of_activity,frustrated,video1813740143,au01,1).
entry(03901,begin_of_activity,frustrated,video1813740143,au02,5).
entry(03902,begin_of_activity,frustrated,video1813740143,au04,14).
entry(03903,end_of_activity,frustrated,video1813740143,au17,3).
entry(03904,begin_of_activity,frustrated,video1813740143,au43,4).
entry(04000,end_of_activity,frustrated,video1813740143,au02,5).
entry(04001,end_of_activity,frustrated,video1813740143,au04,14).
entry(04002,begin_of_activity,frustrated,video1813740143,au09,1).
entry(04003,end_of_activity,frustrated,video1813740143,au43,4).
entry(04100,end_of_activity,frustrated,video1813740143,au09,1).
entry(04300,begin_of_activity,frustrated,video1813740143,au04,15).
entry(04400,end_of_activity,frustrated,video1813740143,au04,15).
entry(04401,begin_of_activity,frustrated,video1813740143,au17,4).
entry(04500,begin_of_activity,frustrated,video1813740143,au04,16).
entry(04501,begin_of_activity,frustrated,video1813740143,au15,1).
entry(04502,end_of_activity,frustrated,video1813740143,au17,4).
entry(04600,end_of_activity,frustrated,video1813740143,au04,16).
entry(04601,end_of_activity,frustrated,video1813740143,au15,1).
entry(04700,begin_of_activity,frustrated,video1813740143,au04,17).
entry(04800,end_of_activity,frustrated,video1813740143,au04,17).
entry(04900,begin_of_activity,frustrated,video1813740143,au02,6).
entry(04901,begin_of_activity,frustrated,video1813740143,au04,18).
entry(05000,end_of_activity,frustrated,video1813740143,au02,6).
entry(05001,end_of_activity,frustrated,video1813740143,au04,18).
entry(05100,begin_of_activity,frustrated,video1813740143,au02,7).
entry(05200,end_of_activity,frustrated,video1813740143,au02,7).
entry(05201,begin_of_activity,frustrated,video1813740143,au04,19).
entry(05300,end_of_activity,frustrated,video1813740143,au04,19).
entry(05400,begin_of_activity,frustrated,video1813740143,au04,20).
entry(05500,end_of_activity,frustrated,video1813740143,au04,20).
entry(05600,begin_of_activity,frustrated,video1813740143,au02,8).
entry(05700,end_of_activity,frustrated,video1813740143,au02,8).
entry(05701,begin_of_activity,frustrated,video1813740143,au04,21).
entry(05702,begin_of_activity,frustrated,video1813740143,au05,12).
entry(05800,end_of_activity,frustrated,video1813740143,au04,21).
entry(05801,end_of_activity,frustrated,video1813740143,au05,12).
entry(05802,begin_of_activity,frustrated,video1813740143,au07,2).
entry(05803,begin_of_activity,frustrated,video1813740143,au15,2).
entry(05900,begin_of_activity,frustrated,video1813740143,au02,9).
entry(05901,begin_of_activity,frustrated,video1813740143,au04,22).
entry(05902,end_of_activity,frustrated,video1813740143,au07,2).
entry(05903,end_of_activity,frustrated,video1813740143,au15,2).
entry(06000,end_of_activity,frustrated,video1813740143,au02,9).
entry(06001,end_of_activity,frustrated,video1813740143,au04,22).
entry(06002,begin_of_activity,frustrated,video1813740143,au05,13).
entry(06100,begin_of_activity,frustrated,video1813740143,au02,10).
entry(06101,end_of_activity,frustrated,video1813740143,au05,13).
entry(06200,end_of_activity,frustrated,video1813740143,au02,10).
entry(06201,begin_of_activity,frustrated,video1813740143,au04,23).
entry(06202,begin_of_activity,frustrated,video1813740143,au05,14).
entry(06300,end_of_activity,frustrated,video1813740143,au04,23).
entry(06301,end_of_activity,frustrated,video1813740143,au05,14).
entry(06302,begin_of_activity,frustrated,video1813740143,au15,3).
entry(06400,begin_of_activity,frustrated,video1813740143,au04,24).
entry(06401,end_of_activity,frustrated,video1813740143,au15,3).
entry(06500,begin_of_activity,frustrated,video1813740143,au02,11).
entry(06501,end_of_activity,frustrated,video1813740143,au04,24).
entry(06600,end_of_activity,frustrated,video1813740143,au02,11).
entry(06601,begin_of_activity,frustrated,video1813740143,au04,25).
entry(06602,begin_of_activity,frustrated,video1813740143,au17,5).
entry(06603,begin_of_activity,frustrated,video1813740143,au43,5).
entry(06700,begin_of_activity,frustrated,video1813740143,au02,12).
entry(06701,end_of_activity,frustrated,video1813740143,au04,25).
entry(06702,end_of_activity,frustrated,video1813740143,au17,5).
entry(06703,begin_of_activity,frustrated,video1813740143,au23,1).
entry(06704,end_of_activity,frustrated,video1813740143,au43,5).
entry(06800,end_of_activity,frustrated,video1813740143,au02,12).
entry(06801,begin_of_activity,frustrated,video1813740143,au04,26).
entry(06802,end_of_activity,frustrated,video1813740143,au23,1).
entry(06803,begin_of_activity,frustrated,video1813740143,au43,6).
entry(06900,end_of_activity,frustrated,video1813740143,au04,26).
entry(06901,end_of_activity,frustrated,video1813740143,au43,6).
entry(07000,begin_of_activity,frustrated,video1813740143,au07,3).
entry(07100,begin_of_activity,frustrated,video1813740143,au04,27).
entry(07101,end_of_activity,frustrated,video1813740143,au07,3).
entry(07102,begin_of_activity,frustrated,video1813740143,au17,6).
entry(07200,end_of_activity,frustrated,video1813740143,au04,27).
entry(07201,end_of_activity,frustrated,video1813740143,au17,6).
entry(07300,begin_of_activity,frustrated,video1813740143,au04,28).
entry(07301,begin_of_activity,frustrated,video1813740143,au17,7).
entry(07400,end_of_activity,frustrated,video1813740143,au04,28).
entry(07401,end_of_activity,frustrated,video1813740143,au17,7).
entry(07500,begin_of_activity,frustrated,video1813740143,au04,29).
entry(07501,begin_of_activity,frustrated,video1813740143,au15,4).
entry(07600,end_of_activity,frustrated,video1813740143,au04,29).
entry(07601,end_of_activity,frustrated,video1813740143,au15,4).
entry(07602,begin_of_activity,frustrated,video1813740143,au17,8).
entry(07603,begin_of_activity,frustrated,video1813740143,au23,2).
entry(07700,begin_of_activity,frustrated,video1813740143,au04,30).
entry(07701,end_of_activity,frustrated,video1813740143,au17,8).
entry(07702,end_of_activity,frustrated,video1813740143,au23,2).
entry(07800,end_of_activity,frustrated,video1813740143,au04,30).
entry(07900,begin_of_activity,frustrated,video1813740143,au04,31).
entry(08000,end_of_activity,frustrated,video1813740143,au04,31).
entry(08001,begin_of_activity,frustrated,video1813740143,au07,4).
entry(08100,begin_of_activity,frustrated,video1813740143,au04,32).
entry(08101,end_of_activity,frustrated,video1813740143,au07,4).
entry(08200,end_of_activity,frustrated,video1813740143,au04,32).
entry(08201,begin_of_activity,frustrated,video1813740143,au17,9).
entry(08300,begin_of_activity,frustrated,video1813740143,au04,33).
entry(08301,end_of_activity,frustrated,video1813740143,au17,9).
entry(08400,end_of_activity,frustrated,video1813740143,au04,33).
entry(08401,begin_of_activity,frustrated,video1813740143,au05,15).
entry(08402,begin_of_activity,frustrated,video1813740143,au07,5).
entry(08403,begin_of_activity,frustrated,video1813740143,au15,5).
entry(08404,begin_of_activity,frustrated,video1813740143,au17,10).
entry(08500,begin_of_activity,frustrated,video1813740143,au04,34).
entry(08501,end_of_activity,frustrated,video1813740143,au05,15).
entry(08502,end_of_activity,frustrated,video1813740143,au07,5).
entry(08503,end_of_activity,frustrated,video1813740143,au15,5).
entry(08504,end_of_activity,frustrated,video1813740143,au17,10).
entry(08600,end_of_activity,frustrated,video1813740143,au04,34).
entry(08601,begin_of_activity,frustrated,video1813740143,au05,16).
entry(08700,end_of_activity,frustrated,video1813740143,au05,16).
entry(08701,begin_of_activity,frustrated,video1813740143,au17,11).
entry(08800,begin_of_activity,frustrated,video1813740143,au04,35).
entry(08801,begin_of_activity,frustrated,video1813740143,au07,6).
entry(08802,end_of_activity,frustrated,video1813740143,au17,11).
entry(08900,end_of_activity,frustrated,video1813740143,au04,35).
entry(08901,begin_of_activity,frustrated,video1813740143,au05,17).
entry(08902,end_of_activity,frustrated,video1813740143,au07,6).
entry(08903,begin_of_activity,frustrated,video1813740143,au10,1).
entry(08904,begin_of_activity,frustrated,video1813740143,au17,12).
entry(09000,end_of_activity,frustrated,video1813740143,au05,17).
entry(09001,end_of_activity,frustrated,video1813740143,au10,1).
entry(09002,end_of_activity,frustrated,video1813740143,au17,12).
entry(09100,begin_of_activity,frustrated,video1813740143,au17,13).
entry(09200,end_of_activity,frustrated,video1813740143,au17,13).
entry(09300,begin_of_activity,frustrated,video1813740143,au04,36).
entry(09301,begin_of_activity,frustrated,video1813740143,au17,14).
entry(09400,end_of_activity,frustrated,video1813740143,au04,36).
entry(09401,begin_of_activity,frustrated,video1813740143,au10,2).
entry(09402,end_of_activity,frustrated,video1813740143,au17,14).
entry(09500,begin_of_activity,frustrated,video1813740143,au04,37).
entry(09501,end_of_activity,frustrated,video1813740143,au10,2).
entry(09502,begin_of_activity,frustrated,video1813740143,au17,15).
entry(09600,end_of_activity,frustrated,video1813740143,au04,37).
entry(09601,end_of_activity,frustrated,video1813740143,au17,15).
entry(09700,begin_of_activity,frustrated,video1813740143,au04,38).
entry(09701,begin_of_activity,frustrated,video1813740143,au07,7).
entry(09702,begin_of_activity,frustrated,video1813740143,au17,16).
entry(09703,begin_of_activity,frustrated,video1813740143,au24,1).
entry(09800,begin_of_activity,frustrated,video1813740143,au01,2).
entry(09801,end_of_activity,frustrated,video1813740143,au04,38).
entry(09802,end_of_activity,frustrated,video1813740143,au07,7).
entry(09803,begin_of_activity,frustrated,video1813740143,au10,3).
entry(09804,end_of_activity,frustrated,video1813740143,au17,16).
entry(09805,begin_of_activity,frustrated,video1813740143,au23,3).
entry(09806,end_of_activity,frustrated,video1813740143,au24,1).
entry(09807,begin_of_activity,frustrated,video1813740143,au43,7).
entry(09900,end_of_activity,frustrated,video1813740143,au01,2).
entry(09901,end_of_activity,frustrated,video1813740143,au10,3).
entry(09902,begin_of_activity,frustrated,video1813740143,au15,6).
entry(09903,begin_of_activity,frustrated,video1813740143,au17,17).
entry(09904,end_of_activity,frustrated,video1813740143,au23,3).
entry(09905,begin_of_activity,frustrated,video1813740143,au24,2).
entry(09906,end_of_activity,frustrated,video1813740143,au43,7).
entry(10000,begin_of_activity,frustrated,video1813740143,au01,3).
entry(10001,end_of_activity,frustrated,video1813740143,au15,6).
entry(10002,end_of_activity,frustrated,video1813740143,au17,17).
entry(10003,end_of_activity,frustrated,video1813740143,au24,2).
entry(10100,end_of_activity,frustrated,video1813740143,au01,3).
entry(10101,begin_of_activity,frustrated,video1813740143,au04,39).
entry(10102,begin_of_activity,frustrated,video1813740143,au10,4).
entry(10103,begin_of_activity,frustrated,video1813740143,au17,18).
entry(10200,end_of_activity,frustrated,video1813740143,au04,39).
entry(10201,end_of_activity,frustrated,video1813740143,au10,4).
entry(10202,end_of_activity,frustrated,video1813740143,au17,18).
entry(10300,begin_of_activity,frustrated,video1813740143,au04,40).
entry(10301,begin_of_activity,frustrated,video1813740143,au17,19).
entry(10400,end_of_activity,frustrated,video1813740143,au04,40).
entry(10401,end_of_activity,frustrated,video1813740143,au17,19).
entry(10500,begin_of_activity,frustrated,video1813740143,au17,20).
entry(10600,begin_of_activity,frustrated,video1813740143,au04,41).
entry(10601,begin_of_activity,frustrated,video1813740143,au10,5).
entry(10602,end_of_activity,frustrated,video1813740143,au17,20).
entry(10603,begin_of_activity,frustrated,video1813740143,au24,3).
entry(10700,end_of_activity,frustrated,video1813740143,au04,41).
entry(10701,end_of_activity,frustrated,video1813740143,au10,5).
entry(10702,begin_of_activity,frustrated,video1813740143,au17,21).
entry(10703,end_of_activity,frustrated,video1813740143,au24,3).
entry(10800,end_of_activity,frustrated,video1813740143,au17,21).
entry(10900,begin_of_activity,frustrated,video1813740143,au07,8).
entry(10901,begin_of_activity,frustrated,video1813740143,au17,22).
entry(10902,begin_of_activity,frustrated,video1813740143,au23,4).
entry(11000,begin_of_activity,frustrated,video1813740143,au04,42).
entry(11001,end_of_activity,frustrated,video1813740143,au07,8).
entry(11002,begin_of_activity,frustrated,video1813740143,au10,6).
entry(11003,end_of_activity,frustrated,video1813740143,au17,22).
entry(11004,end_of_activity,frustrated,video1813740143,au23,4).
entry(11100,end_of_activity,frustrated,video1813740143,au04,42).
entry(11101,end_of_activity,frustrated,video1813740143,au10,6).
entry(11102,begin_of_activity,frustrated,video1813740143,au17,23).
entry(11103,begin_of_activity,frustrated,video1813740143,au23,5).
entry(11104,begin_of_activity,frustrated,video1813740143,au24,4).
entry(11200,end_of_activity,frustrated,video1813740143,au17,23).
entry(11201,end_of_activity,frustrated,video1813740143,au23,5).
entry(11202,end_of_activity,frustrated,video1813740143,au24,4).
entry(11203,begin_of_activity,frustrated,video1813740143,au28,1).
entry(11300,begin_of_activity,frustrated,video1813740143,au17,24).
entry(11301,begin_of_activity,frustrated,video1813740143,au20,1).
entry(11302,begin_of_activity,frustrated,video1813740143,au23,6).
entry(11303,begin_of_activity,frustrated,video1813740143,au24,5).
entry(11304,end_of_activity,frustrated,video1813740143,au28,1).
entry(11400,begin_of_activity,frustrated,video1813740143,au07,9).
entry(11401,end_of_activity,frustrated,video1813740143,au17,24).
entry(11402,end_of_activity,frustrated,video1813740143,au20,1).
entry(11403,end_of_activity,frustrated,video1813740143,au23,6).
entry(11404,end_of_activity,frustrated,video1813740143,au24,5).
entry(11500,end_of_activity,frustrated,video1813740143,au07,9).
entry(11501,begin_of_activity,frustrated,video1813740143,au17,25).
entry(11502,begin_of_activity,frustrated,video1813740143,au20,2).
entry(11600,end_of_activity,frustrated,video1813740143,au17,25).
entry(11601,end_of_activity,frustrated,video1813740143,au20,2).
entry(11602,begin_of_activity,frustrated,video1813740143,au23,7).
entry(11700,begin_of_activity,frustrated,video1813740143,au04,43).
entry(11701,begin_of_activity,frustrated,video1813740143,au07,10).
entry(11702,begin_of_activity,frustrated,video1813740143,au17,26).
entry(11703,end_of_activity,frustrated,video1813740143,au23,7).
entry(11704,begin_of_activity,frustrated,video1813740143,au28,2).
entry(11800,end_of_activity,frustrated,video1813740143,au04,43).
entry(11801,end_of_activity,frustrated,video1813740143,au07,10).
entry(11802,end_of_activity,frustrated,video1813740143,au17,26).
entry(11803,begin_of_activity,frustrated,video1813740143,au20,3).
entry(11804,begin_of_activity,frustrated,video1813740143,au23,8).
entry(11805,end_of_activity,frustrated,video1813740143,au28,2).
entry(11900,begin_of_activity,frustrated,video1813740143,au17,27).
entry(11901,end_of_activity,frustrated,video1813740143,au20,3).
entry(11902,end_of_activity,frustrated,video1813740143,au23,8).
entry(11903,begin_of_activity,frustrated,video1813740143,au25,1).
entry(12000,begin_of_activity,frustrated,video1813740143,au07,11).
entry(12001,end_of_activity,frustrated,video1813740143,au17,27).
entry(12002,begin_of_activity,frustrated,video1813740143,au20,4).
entry(12003,begin_of_activity,frustrated,video1813740143,au23,9).
entry(12004,end_of_activity,frustrated,video1813740143,au25,1).
entry(12100,end_of_activity,frustrated,video1813740143,au07,11).
entry(12101,end_of_activity,frustrated,video1813740143,au20,4).
entry(12102,end_of_activity,frustrated,video1813740143,au23,9).
entry(12200,begin_of_activity,frustrated,video1813740143,au10,7).
entry(12201,begin_of_activity,frustrated,video1813740143,au17,28).
entry(12202,begin_of_activity,frustrated,video1813740143,au20,5).
entry(12203,begin_of_activity,frustrated,video1813740143,au24,6).
entry(12300,end_of_activity,frustrated,video1813740143,au10,7).
entry(12301,end_of_activity,frustrated,video1813740143,au17,28).
entry(12302,end_of_activity,frustrated,video1813740143,au20,5).
entry(12303,end_of_activity,frustrated,video1813740143,au24,6).
entry(12400,begin_of_activity,frustrated,video1813740143,au17,29).
entry(12401,begin_of_activity,frustrated,video1813740143,au20,6).
entry(12402,begin_of_activity,frustrated,video1813740143,au23,10).
entry(12403,begin_of_activity,frustrated,video1813740143,au24,7).
entry(12500,end_of_activity,frustrated,video1813740143,au17,29).
entry(12501,end_of_activity,frustrated,video1813740143,au20,6).
entry(12502,end_of_activity,frustrated,video1813740143,au23,10).
entry(12503,end_of_activity,frustrated,video1813740143,au24,7).
entry(12600,begin_of_activity,frustrated,video1813740143,au20,7).
entry(12601,begin_of_activity,frustrated,video1813740143,au23,11).
entry(12700,begin_of_activity,frustrated,video1813740143,au07,12).
entry(12701,begin_of_activity,frustrated,video1813740143,au17,30).
entry(12702,end_of_activity,frustrated,video1813740143,au20,7).
entry(12703,end_of_activity,frustrated,video1813740143,au23,11).
entry(12704,begin_of_activity,frustrated,video1813740143,au24,8).
entry(12800,end_of_activity,frustrated,video1813740143,au07,12).
entry(12801,begin_of_activity,frustrated,video1813740143,au10,8).
entry(12802,end_of_activity,frustrated,video1813740143,au17,30).
entry(12803,begin_of_activity,frustrated,video1813740143,au20,8).
entry(12804,end_of_activity,frustrated,video1813740143,au24,8).
entry(12805,begin_of_activity,frustrated,video1813740143,au25,2).
entry(12900,end_of_activity,frustrated,video1813740143,au10,8).
entry(12901,end_of_activity,frustrated,video1813740143,au20,8).
entry(12902,end_of_activity,frustrated,video1813740143,au25,2).
entry(13000,begin_of_activity,frustrated,video1813740143,au17,31).
entry(13001,begin_of_activity,frustrated,video1813740143,au24,9).
entry(13002,begin_of_activity,frustrated,video1813740143,au25,3).
