entry(00000,begin_of_process,confused,video5674960234,start,1).
entry(00001,begin_of_activity,confused,video5674960234,au04,1).
entry(00002,begin_of_activity,confused,video5674960234,au09,1).
entry(00003,begin_of_activity,confused,video5674960234,au17,1).
entry(00004,begin_of_activity,confused,video5674960234,au43,1).
entry(00100,end_of_activity,confused,video5674960234,au04,1).
entry(00101,begin_of_activity,confused,video5674960234,au07,1).
entry(00102,end_of_activity,confused,video5674960234,au09,1).
entry(00103,end_of_activity,confused,video5674960234,au17,1).
entry(00104,end_of_activity,confused,video5674960234,au43,1).
entry(00200,begin_of_activity,confused,video5674960234,au04,2).
entry(00201,end_of_activity,confused,video5674960234,au07,1).
entry(00202,begin_of_activity,confused,video5674960234,au09,2).
entry(00203,begin_of_activity,confused,video5674960234,au11,1).
entry(00204,begin_of_activity,confused,video5674960234,au17,2).
entry(00300,end_of_activity,confused,video5674960234,au04,2).
entry(00301,begin_of_activity,confused,video5674960234,au07,2).
entry(00302,end_of_activity,confused,video5674960234,au09,2).
entry(00303,end_of_activity,confused,video5674960234,au11,1).
entry(00304,end_of_activity,confused,video5674960234,au17,2).
entry(00400,end_of_activity,confused,video5674960234,au07,2).
entry(00401,begin_of_activity,confused,video5674960234,au09,3).
entry(00402,begin_of_activity,confused,video5674960234,au17,3).
entry(00500,begin_of_activity,confused,video5674960234,au04,3).
entry(00501,end_of_activity,confused,video5674960234,au09,3).
entry(00502,end_of_activity,confused,video5674960234,au17,3).
entry(00600,end_of_activity,confused,video5674960234,au04,3).
entry(00601,begin_of_activity,confused,video5674960234,au07,3).
entry(00602,begin_of_activity,confused,video5674960234,au09,4).
entry(00603,begin_of_activity,confused,video5674960234,au17,4).
entry(00700,end_of_activity,confused,video5674960234,au07,3).
entry(00701,end_of_activity,confused,video5674960234,au09,4).
entry(00702,end_of_activity,confused,video5674960234,au17,4).
entry(00800,begin_of_activity,confused,video5674960234,au07,4).
entry(00801,begin_of_activity,confused,video5674960234,au09,5).
entry(00802,begin_of_activity,confused,video5674960234,au11,2).
entry(00803,begin_of_activity,confused,video5674960234,au17,5).
entry(00900,begin_of_activity,confused,video5674960234,au04,4).
entry(00901,end_of_activity,confused,video5674960234,au07,4).
entry(00902,end_of_activity,confused,video5674960234,au09,5).
entry(00903,end_of_activity,confused,video5674960234,au11,2).
entry(00904,end_of_activity,confused,video5674960234,au17,5).
entry(01000,end_of_activity,confused,video5674960234,au04,4).
entry(01001,begin_of_activity,confused,video5674960234,au07,5).
entry(01002,begin_of_activity,confused,video5674960234,au09,6).
entry(01003,begin_of_activity,confused,video5674960234,au11,3).
entry(01004,begin_of_activity,confused,video5674960234,au14,1).
entry(01005,begin_of_activity,confused,video5674960234,au15,1).
entry(01006,begin_of_activity,confused,video5674960234,au17,6).
entry(01100,begin_of_activity,confused,video5674960234,au04,5).
entry(01101,end_of_activity,confused,video5674960234,au07,5).
entry(01102,end_of_activity,confused,video5674960234,au09,6).
entry(01103,begin_of_activity,confused,video5674960234,au10,1).
entry(01104,end_of_activity,confused,video5674960234,au11,3).
entry(01105,end_of_activity,confused,video5674960234,au14,1).
entry(01106,end_of_activity,confused,video5674960234,au15,1).
entry(01107,end_of_activity,confused,video5674960234,au17,6).
entry(01200,end_of_activity,confused,video5674960234,au04,5).
entry(01201,begin_of_activity,confused,video5674960234,au09,7).
entry(01202,end_of_activity,confused,video5674960234,au10,1).
entry(01203,begin_of_activity,confused,video5674960234,au17,7).
entry(01300,begin_of_activity,confused,video5674960234,au04,6).
entry(01301,begin_of_activity,confused,video5674960234,au07,6).
entry(01302,end_of_activity,confused,video5674960234,au09,7).
entry(01303,end_of_activity,confused,video5674960234,au17,7).
entry(01400,end_of_activity,confused,video5674960234,au04,6).
entry(01401,end_of_activity,confused,video5674960234,au07,6).
entry(01402,begin_of_activity,confused,video5674960234,au09,8).
entry(01403,begin_of_activity,confused,video5674960234,au17,8).
entry(01500,begin_of_activity,confused,video5674960234,au04,7).
entry(01501,end_of_activity,confused,video5674960234,au09,8).
entry(01502,begin_of_activity,confused,video5674960234,au10,2).
entry(01503,end_of_activity,confused,video5674960234,au17,8).
entry(01600,end_of_activity,confused,video5674960234,au04,7).
