entry(00000,begin_of_process,bored,video3100821045,start,1).
entry(00001,begin_of_activity,bored,video3100821045,au17,1).
entry(00002,begin_of_activity,bored,video3100821045,au20,1).
entry(00003,begin_of_activity,bored,video3100821045,au24,1).
entry(00004,begin_of_activity,bored,video3100821045,au28,1).
entry(00005,begin_of_activity,bored,video3100821045,au43,1).
entry(00100,end_of_activity,bored,video3100821045,au17,1).
entry(00101,end_of_activity,bored,video3100821045,au20,1).
entry(00102,begin_of_activity,bored,video3100821045,au23,1).
entry(00103,end_of_activity,bored,video3100821045,au24,1).
entry(00104,end_of_activity,bored,video3100821045,au28,1).
entry(00105,end_of_activity,bored,video3100821045,au43,1).
entry(00200,begin_of_activity,bored,video3100821045,au02,1).
entry(00201,begin_of_activity,bored,video3100821045,au14,1).
entry(00202,begin_of_activity,bored,video3100821045,au17,2).
entry(00203,begin_of_activity,bored,video3100821045,au20,2).
entry(00204,end_of_activity,bored,video3100821045,au23,1).
entry(00205,begin_of_activity,bored,video3100821045,au24,2).
entry(00206,begin_of_activity,bored,video3100821045,au28,2).
entry(00207,begin_of_activity,bored,video3100821045,au43,2).
entry(00300,end_of_activity,bored,video3100821045,au02,1).
entry(00301,begin_of_activity,bored,video3100821045,au12,1).
entry(00302,end_of_activity,bored,video3100821045,au14,1).
entry(00303,end_of_activity,bored,video3100821045,au17,2).
entry(00304,end_of_activity,bored,video3100821045,au20,2).
entry(00305,begin_of_activity,bored,video3100821045,au23,2).
entry(00306,end_of_activity,bored,video3100821045,au24,2).
entry(00307,end_of_activity,bored,video3100821045,au28,2).
entry(00308,end_of_activity,bored,video3100821045,au43,2).
entry(00400,begin_of_activity,bored,video3100821045,au02,2).
entry(00401,begin_of_activity,bored,video3100821045,au07,1).
entry(00402,end_of_activity,bored,video3100821045,au12,1).
entry(00403,begin_of_activity,bored,video3100821045,au14,2).
entry(00404,begin_of_activity,bored,video3100821045,au20,3).
entry(00405,end_of_activity,bored,video3100821045,au23,2).
entry(00406,begin_of_activity,bored,video3100821045,au24,3).
entry(00407,begin_of_activity,bored,video3100821045,au43,3).
entry(00500,end_of_activity,bored,video3100821045,au02,2).
entry(00501,end_of_activity,bored,video3100821045,au07,1).
entry(00502,end_of_activity,bored,video3100821045,au14,2).
entry(00503,end_of_activity,bored,video3100821045,au20,3).
entry(00504,begin_of_activity,bored,video3100821045,au23,3).
entry(00505,end_of_activity,bored,video3100821045,au24,3).
entry(00506,end_of_activity,bored,video3100821045,au43,3).
entry(00600,begin_of_activity,bored,video3100821045,au14,3).
entry(00601,begin_of_activity,bored,video3100821045,au20,4).
entry(00602,end_of_activity,bored,video3100821045,au23,3).
entry(00603,begin_of_activity,bored,video3100821045,au24,4).
entry(00604,begin_of_activity,bored,video3100821045,au28,3).
entry(00700,begin_of_activity,bored,video3100821045,au02,3).
entry(00701,begin_of_activity,bored,video3100821045,au09,1).
entry(00702,end_of_activity,bored,video3100821045,au14,3).
entry(00703,begin_of_activity,bored,video3100821045,au17,3).
entry(00704,end_of_activity,bored,video3100821045,au20,4).
entry(00705,begin_of_activity,bored,video3100821045,au23,4).
entry(00706,end_of_activity,bored,video3100821045,au24,4).
entry(00707,end_of_activity,bored,video3100821045,au28,3).
entry(00708,begin_of_activity,bored,video3100821045,au43,4).
entry(00800,end_of_activity,bored,video3100821045,au02,3).
entry(00801,end_of_activity,bored,video3100821045,au09,1).
entry(00802,begin_of_activity,bored,video3100821045,au14,4).
entry(00803,end_of_activity,bored,video3100821045,au17,3).
entry(00804,begin_of_activity,bored,video3100821045,au20,5).
entry(00805,end_of_activity,bored,video3100821045,au23,4).
entry(00806,begin_of_activity,bored,video3100821045,au24,5).
entry(00807,end_of_activity,bored,video3100821045,au43,4).
entry(00900,begin_of_activity,bored,video3100821045,au02,4).
