entry(00000,begin_of_process,bored,video5000392047,start,1).
entry(00001,begin_of_activity,bored,video5000392047,au02,1).
entry(00002,begin_of_activity,bored,video5000392047,au06,1).
entry(00003,begin_of_activity,bored,video5000392047,au07,1).
entry(00004,begin_of_activity,bored,video5000392047,au10,1).
entry(00005,begin_of_activity,bored,video5000392047,au14,1).
entry(00006,begin_of_activity,bored,video5000392047,au17,1).
entry(00007,begin_of_activity,bored,video5000392047,au24,1).
entry(00100,end_of_activity,bored,video5000392047,au02,1).
entry(00101,end_of_activity,bored,video5000392047,au06,1).
entry(00102,end_of_activity,bored,video5000392047,au07,1).
entry(00103,end_of_activity,bored,video5000392047,au10,1).
entry(00104,end_of_activity,bored,video5000392047,au14,1).
entry(00105,end_of_activity,bored,video5000392047,au17,1).
entry(00106,end_of_activity,bored,video5000392047,au24,1).
entry(00107,begin_of_activity,bored,video5000392047,au25,1).
entry(00108,begin_of_activity,bored,video5000392047,au43,1).
entry(00200,begin_of_activity,bored,video5000392047,au01,1).
entry(00201,begin_of_activity,bored,video5000392047,au02,2).
entry(00202,begin_of_activity,bored,video5000392047,au06,2).
entry(00203,begin_of_activity,bored,video5000392047,au07,2).
entry(00204,begin_of_activity,bored,video5000392047,au10,2).
entry(00205,begin_of_activity,bored,video5000392047,au12,1).
entry(00206,begin_of_activity,bored,video5000392047,au14,2).
entry(00207,begin_of_activity,bored,video5000392047,au24,2).
entry(00208,end_of_activity,bored,video5000392047,au25,1).
entry(00209,end_of_activity,bored,video5000392047,au43,1).
entry(00300,end_of_activity,bored,video5000392047,au01,1).
entry(00301,end_of_activity,bored,video5000392047,au02,2).
entry(00302,end_of_activity,bored,video5000392047,au06,2).
entry(00303,end_of_activity,bored,video5000392047,au07,2).
entry(00304,end_of_activity,bored,video5000392047,au10,2).
entry(00305,begin_of_activity,bored,video5000392047,au11,1).
entry(00306,end_of_activity,bored,video5000392047,au12,1).
entry(00307,end_of_activity,bored,video5000392047,au14,2).
entry(00308,end_of_activity,bored,video5000392047,au24,2).
entry(00400,begin_of_activity,bored,video5000392047,au06,3).
entry(00401,begin_of_activity,bored,video5000392047,au07,3).
entry(00402,begin_of_activity,bored,video5000392047,au10,3).
entry(00403,end_of_activity,bored,video5000392047,au11,1).
entry(00404,begin_of_activity,bored,video5000392047,au14,3).
entry(00405,begin_of_activity,bored,video5000392047,au24,3).
entry(00500,end_of_activity,bored,video5000392047,au06,3).
entry(00501,end_of_activity,bored,video5000392047,au07,3).
entry(00502,end_of_activity,bored,video5000392047,au10,3).
entry(00503,end_of_activity,bored,video5000392047,au14,3).
entry(00504,end_of_activity,bored,video5000392047,au24,3).
entry(00505,begin_of_activity,bored,video5000392047,au43,2).
entry(00600,begin_of_activity,bored,video5000392047,au04,1).
entry(00601,begin_of_activity,bored,video5000392047,au06,4).
entry(00602,begin_of_activity,bored,video5000392047,au10,4).
entry(00603,begin_of_activity,bored,video5000392047,au14,4).
