entry(00000,begin_of_process,engaged,video2100592056,start,1).
entry(00001,begin_of_activity,engaged,video2100592056,au04,1).
entry(00002,begin_of_activity,engaged,video2100592056,au07,1).
entry(00003,begin_of_activity,engaged,video2100592056,au10,1).
entry(00004,begin_of_activity,engaged,video2100592056,au11,1).
entry(00005,begin_of_activity,engaged,video2100592056,au17,1).
entry(00100,end_of_activity,engaged,video2100592056,au04,1).
entry(00101,end_of_activity,engaged,video2100592056,au07,1).
entry(00102,end_of_activity,engaged,video2100592056,au10,1).
entry(00103,end_of_activity,engaged,video2100592056,au11,1).
entry(00104,end_of_activity,engaged,video2100592056,au17,1).
entry(00200,begin_of_activity,engaged,video2100592056,au07,2).
entry(00201,begin_of_activity,engaged,video2100592056,au17,2).
entry(00300,end_of_activity,engaged,video2100592056,au07,2).
entry(00301,end_of_activity,engaged,video2100592056,au17,2).
entry(00302,begin_of_activity,engaged,video2100592056,au25,1).
entry(00400,end_of_activity,engaged,video2100592056,au25,1).
entry(00500,begin_of_activity,engaged,video2100592056,au04,2).
entry(00501,begin_of_activity,engaged,video2100592056,au07,3).
entry(00600,end_of_activity,engaged,video2100592056,au04,2).
entry(00601,end_of_activity,engaged,video2100592056,au07,3).
entry(00602,begin_of_activity,engaged,video2100592056,au17,3).
entry(00700,end_of_activity,engaged,video2100592056,au17,3).
entry(00800,begin_of_activity,engaged,video2100592056,au07,4).
entry(00801,begin_of_activity,engaged,video2100592056,au17,4).
entry(00900,end_of_activity,engaged,video2100592056,au07,4).
entry(00901,end_of_activity,engaged,video2100592056,au17,4).
entry(00902,begin_of_activity,engaged,video2100592056,au23,1).
entry(00903,begin_of_activity,engaged,video2100592056,au24,1).
entry(01000,begin_of_activity,engaged,video2100592056,au04,3).
entry(01001,end_of_activity,engaged,video2100592056,au23,1).
entry(01002,end_of_activity,engaged,video2100592056,au24,1).
entry(01100,end_of_activity,engaged,video2100592056,au04,3).
entry(01101,begin_of_activity,engaged,video2100592056,au07,5).
entry(01102,begin_of_activity,engaged,video2100592056,au17,5).
entry(01200,end_of_activity,engaged,video2100592056,au07,5).
entry(01201,end_of_activity,engaged,video2100592056,au17,5).
entry(01300,begin_of_activity,engaged,video2100592056,au07,6).
entry(01301,begin_of_activity,engaged,video2100592056,au10,2).
entry(01302,begin_of_activity,engaged,video2100592056,au17,6).
entry(01400,begin_of_activity,engaged,video2100592056,au04,4).
entry(01401,end_of_activity,engaged,video2100592056,au07,6).
entry(01402,end_of_activity,engaged,video2100592056,au10,2).
entry(01403,end_of_activity,engaged,video2100592056,au17,6).
entry(01500,end_of_activity,engaged,video2100592056,au04,4).
entry(01501,begin_of_activity,engaged,video2100592056,au07,7).
entry(01502,begin_of_activity,engaged,video2100592056,au10,3).
