entry(00000,begin_of_process,confused,video3503610127,start,1).
entry(00001,begin_of_activity,confused,video3503610127,au04,1).
entry(00002,begin_of_activity,confused,video3503610127,au17,1).
entry(00100,begin_of_activity,confused,video3503610127,au02,1).
entry(00101,end_of_activity,confused,video3503610127,au04,1).
entry(00102,end_of_activity,confused,video3503610127,au17,1).
entry(00200,end_of_activity,confused,video3503610127,au02,1).
entry(00201,begin_of_activity,confused,video3503610127,au17,2).
entry(00202,begin_of_activity,confused,video3503610127,au24,1).
entry(00300,begin_of_activity,confused,video3503610127,au04,2).
entry(00301,end_of_activity,confused,video3503610127,au17,2).
entry(00302,end_of_activity,confused,video3503610127,au24,1).
entry(00400,begin_of_activity,confused,video3503610127,au02,2).
entry(00401,end_of_activity,confused,video3503610127,au04,2).
entry(00402,begin_of_activity,confused,video3503610127,au17,3).
entry(00500,end_of_activity,confused,video3503610127,au02,2).
entry(00501,end_of_activity,confused,video3503610127,au17,3).
entry(00600,begin_of_activity,confused,video3503610127,au02,3).
entry(00601,begin_of_activity,confused,video3503610127,au17,4).
entry(00602,begin_of_activity,confused,video3503610127,au24,2).
entry(00700,end_of_activity,confused,video3503610127,au02,3).
entry(00701,end_of_activity,confused,video3503610127,au17,4).
entry(00702,end_of_activity,confused,video3503610127,au24,2).
entry(00800,begin_of_activity,confused,video3503610127,au04,3).
entry(00801,begin_of_activity,confused,video3503610127,au07,1).
entry(00802,begin_of_activity,confused,video3503610127,au17,5).
entry(00803,begin_of_activity,confused,video3503610127,au24,3).
entry(00900,end_of_activity,confused,video3503610127,au04,3).
entry(00901,end_of_activity,confused,video3503610127,au07,1).
entry(00902,end_of_activity,confused,video3503610127,au17,5).
entry(00903,end_of_activity,confused,video3503610127,au24,3).
entry(01000,begin_of_activity,confused,video3503610127,au17,6).
entry(01100,end_of_activity,confused,video3503610127,au17,6).
entry(01101,begin_of_activity,confused,video3503610127,au24,4).
entry(01200,begin_of_activity,confused,video3503610127,au04,4).
entry(01201,begin_of_activity,confused,video3503610127,au15,1).
entry(01202,begin_of_activity,confused,video3503610127,au17,7).
entry(01203,end_of_activity,confused,video3503610127,au24,4).
entry(01300,end_of_activity,confused,video3503610127,au04,4).
entry(01301,end_of_activity,confused,video3503610127,au15,1).
entry(01302,end_of_activity,confused,video3503610127,au17,7).
entry(01303,begin_of_activity,confused,video3503610127,au24,5).
entry(01400,begin_of_activity,confused,video3503610127,au02,4).
entry(01401,begin_of_activity,confused,video3503610127,au04,5).
entry(01402,begin_of_activity,confused,video3503610127,au17,8).
entry(01403,end_of_activity,confused,video3503610127,au24,5).
entry(01500,end_of_activity,confused,video3503610127,au02,4).
entry(01501,end_of_activity,confused,video3503610127,au04,5).
entry(01502,end_of_activity,confused,video3503610127,au17,8).
entry(01600,begin_of_activity,confused,video3503610127,au17,9).
entry(01601,begin_of_activity,confused,video3503610127,au24,6).
entry(01700,begin_of_activity,confused,video3503610127,au04,6).
entry(01701,end_of_activity,confused,video3503610127,au17,9).
entry(01702,end_of_activity,confused,video3503610127,au24,6).
entry(01703,begin_of_activity,confused,video3503610127,au43,1).
entry(01800,end_of_activity,confused,video3503610127,au04,6).
entry(01801,begin_of_activity,confused,video3503610127,au17,10).
entry(01802,end_of_activity,confused,video3503610127,au43,1).
entry(01900,begin_of_activity,confused,video3503610127,au05,1).
entry(01901,end_of_activity,confused,video3503610127,au17,10).
entry(02000,begin_of_activity,confused,video3503610127,au02,5).
entry(02001,end_of_activity,confused,video3503610127,au05,1).
entry(02002,begin_of_activity,confused,video3503610127,au17,11).
entry(02003,begin_of_activity,confused,video3503610127,au20,1).
entry(02100,end_of_activity,confused,video3503610127,au02,5).
entry(02101,begin_of_activity,confused,video3503610127,au04,7).
entry(02102,end_of_activity,confused,video3503610127,au17,11).
entry(02103,end_of_activity,confused,video3503610127,au20,1).
entry(02104,begin_of_activity,confused,video3503610127,au24,7).
entry(02200,begin_of_activity,confused,video3503610127,au02,6).
entry(02201,end_of_activity,confused,video3503610127,au04,7).
entry(02202,begin_of_activity,confused,video3503610127,au17,12).
entry(02203,end_of_activity,confused,video3503610127,au24,7).
entry(02300,end_of_activity,confused,video3503610127,au02,6).
entry(02301,end_of_activity,confused,video3503610127,au17,12).
entry(02302,begin_of_activity,confused,video3503610127,au24,8).
entry(02400,begin_of_activity,confused,video3503610127,au17,13).
entry(02401,end_of_activity,confused,video3503610127,au24,8).
entry(02500,begin_of_activity,confused,video3503610127,au02,7).
entry(02501,begin_of_activity,confused,video3503610127,au10,1).
entry(02502,end_of_activity,confused,video3503610127,au17,13).
entry(02600,end_of_activity,confused,video3503610127,au02,7).
entry(02601,begin_of_activity,confused,video3503610127,au04,8).
entry(02602,begin_of_activity,confused,video3503610127,au07,2).
entry(02603,end_of_activity,confused,video3503610127,au10,1).
entry(02604,begin_of_activity,confused,video3503610127,au17,14).
entry(02605,begin_of_activity,confused,video3503610127,au24,9).
entry(02700,begin_of_activity,confused,video3503610127,au02,8).
entry(02701,end_of_activity,confused,video3503610127,au04,8).
entry(02702,end_of_activity,confused,video3503610127,au07,2).
entry(02703,end_of_activity,confused,video3503610127,au17,14).
entry(02704,end_of_activity,confused,video3503610127,au24,9).
entry(02800,end_of_activity,confused,video3503610127,au02,8).
entry(02801,begin_of_activity,confused,video3503610127,au17,15).
entry(02900,begin_of_activity,confused,video3503610127,au07,3).
entry(02901,end_of_activity,confused,video3503610127,au17,15).
entry(02902,begin_of_activity,confused,video3503610127,au24,10).
entry(03000,begin_of_activity,confused,video3503610127,au04,9).
entry(03001,end_of_activity,confused,video3503610127,au07,3).
entry(03002,begin_of_activity,confused,video3503610127,au17,16).
entry(03003,end_of_activity,confused,video3503610127,au24,10).
entry(03100,begin_of_activity,confused,video3503610127,au02,9).
entry(03101,end_of_activity,confused,video3503610127,au04,9).
entry(03102,begin_of_activity,confused,video3503610127,au07,4).
entry(03103,end_of_activity,confused,video3503610127,au17,16).
entry(03104,begin_of_activity,confused,video3503610127,au24,11).
entry(03200,end_of_activity,confused,video3503610127,au02,9).
entry(03201,end_of_activity,confused,video3503610127,au07,4).
entry(03202,begin_of_activity,confused,video3503610127,au17,17).
entry(03203,end_of_activity,confused,video3503610127,au24,11).
entry(03300,begin_of_activity,confused,video3503610127,au02,10).
entry(03301,begin_of_activity,confused,video3503610127,au04,10).
entry(03302,end_of_activity,confused,video3503610127,au17,17).
entry(03400,end_of_activity,confused,video3503610127,au02,10).
entry(03401,end_of_activity,confused,video3503610127,au04,10).
entry(03402,begin_of_activity,confused,video3503610127,au17,18).
entry(03403,begin_of_activity,confused,video3503610127,au24,12).
entry(03500,begin_of_activity,confused,video3503610127,au02,11).
entry(03501,begin_of_activity,confused,video3503610127,au04,11).
entry(03502,begin_of_activity,confused,video3503610127,au07,5).
