AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,input
0.2966595888,0.3710851371,0.27956590060000003,0.3960675597,0.1139616668,0.0,0.1917878389,0.8249483705,0.4853623509,0.24206690490000002,0.5153718591,0.2446650118,0.5359125733,1.0,0.4446702302,0.4055564404,0.2934981585,0.2380627096,0.0483654477,0.024825815100000002,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/surprise/Training_10013223.jpg
0.32934644820000003,0.6112951040000001,0.5255565643,0.6718499064,0.0834356472,0.0,0.1319293231,0.1833954751,0.4667275548,0.07043783370000001,0.3155976236,0.1551384032,0.28617909550000004,1.0,0.11791480330000001,0.3245995343,0.9940849543,0.40236821770000003,0.0208672825,0.0523885377,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/surprise/Training_1002457.jpg
0.424038738,0.528645575,0.5056211352000001,0.6064665914,0.052780337600000005,0.0,0.15431165700000002,0.0918940082,0.46141380070000004,0.0484989323,0.18109795450000002,0.1740375161,0.4988692403,0.0,0.24804253880000002,0.4486534297,0.1665578336,0.0302383713,0.0474868082,0.0512038842,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/surprise/Training_10028230.jpg
0.3310051858,0.4665856063,0.7541291118,0.736736834,0.0695629269,1.0,0.08884011210000001,0.005976323,0.46462720630000004,0.0219919682,0.10149698700000001,0.0697341338,0.32408177850000003,0.0,0.1646918356,0.4252008796,0.7547031641,0.5735091567,0.0474008285,0.0640756413,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/surprise/Training_10060820.jpg
0.5678137541,0.43893232940000004,0.1872270107,0.46851462130000004,0.0735418499,0.0,0.1150686815,0.1773585528,0.4665910006,0.0525594428,0.1403420568,0.710426271,0.4107834399,0.0,0.11977412550000001,0.3559834659,0.9743167162,0.5208027363000001,0.0623181835,0.0637392476,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/surprise/Training_10073433.jpg
,,,,,,,,,,,,,,,,,,,,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/surprise/Training_1009179.jpg
0.4852184653,0.47885987160000004,0.3346326649,0.5028347373000001,0.0934239328,0.0,0.1182108372,0.3121180832,0.46893554930000003,0.038764935,0.37864175440000003,0.1917680353,0.38828077910000003,0.0,0.1873053908,0.5586814284,0.1276356578,0.0396514647,0.052767917500000004,0.0493894368,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/surprise/Training_10124215.jpg
0.5217642188,0.4984768033,0.6867886186000001,0.7604486346,0.0768542066,0.0,0.1218616664,0.2105321437,0.4600861967,0.0339049585,0.2671771348,0.1449424177,0.42446231840000004,0.0,0.3637269437,0.5392341018,0.43793508410000004,0.2455372661,0.2457123846,0.0211833883,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/surprise/Training_10135912.jpg
0.5427594185,0.5581491590000001,0.32727855440000003,0.4640523791,0.1398426443,0.0,0.33953514700000004,0.2847841978,0.46783119440000004,0.0817229748,0.4038532674,0.2357000709,0.5845538974,0.0,0.4047488272,0.44188225270000003,0.2104142755,0.0784811825,0.062841095,0.0878542736,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/surprise/Training_10191209.jpg
0.48599219320000003,0.456926614,0.5092360973,0.7222259045,0.0843693465,0.0,0.1157035604,0.0030771438,0.4676845968,0.0736531988,0.08304618300000001,0.094142586,0.2912091613,1.0,0.29727643730000003,0.3241107166,0.9758039713000001,0.3851298094,0.015712762300000002,0.0674753487,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/surprise/Training_10218600.jpg
