entry(00000,begin_of_process,bored,video2056010134,start,1).
entry(00100,begin_of_activity,bored,video2056010134,au04,1).
entry(00101,begin_of_activity,bored,video2056010134,au11,1).
entry(00102,begin_of_activity,bored,video2056010134,au14,1).
entry(00103,begin_of_activity,bored,video2056010134,au15,1).
entry(00200,end_of_activity,bored,video2056010134,au04,1).
entry(00201,end_of_activity,bored,video2056010134,au11,1).
entry(00202,end_of_activity,bored,video2056010134,au14,1).
entry(00203,end_of_activity,bored,video2056010134,au15,1).
entry(00204,begin_of_activity,bored,video2056010134,au24,1).
entry(00300,begin_of_activity,bored,video2056010134,au04,2).
entry(00301,begin_of_activity,bored,video2056010134,au11,2).
entry(00302,begin_of_activity,bored,video2056010134,au14,2).
entry(00303,begin_of_activity,bored,video2056010134,au15,2).
entry(00304,end_of_activity,bored,video2056010134,au24,1).
entry(00400,end_of_activity,bored,video2056010134,au04,2).
entry(00401,end_of_activity,bored,video2056010134,au11,2).
entry(00402,end_of_activity,bored,video2056010134,au14,2).
entry(00403,end_of_activity,bored,video2056010134,au15,2).
entry(00404,begin_of_activity,bored,video2056010134,au24,2).
entry(00500,begin_of_activity,bored,video2056010134,au04,3).
entry(00501,begin_of_activity,bored,video2056010134,au11,3).
entry(00502,begin_of_activity,bored,video2056010134,au14,3).
entry(00503,end_of_activity,bored,video2056010134,au24,2).
entry(00600,end_of_activity,bored,video2056010134,au04,3).
entry(00601,end_of_activity,bored,video2056010134,au11,3).
entry(00602,end_of_activity,bored,video2056010134,au14,3).
entry(00700,begin_of_activity,bored,video2056010134,au04,4).
entry(00701,begin_of_activity,bored,video2056010134,au17,1).
entry(00800,end_of_activity,bored,video2056010134,au04,4).
entry(00801,begin_of_activity,bored,video2056010134,au10,1).
entry(00802,begin_of_activity,bored,video2056010134,au11,4).
entry(00803,begin_of_activity,bored,video2056010134,au14,4).
entry(00804,end_of_activity,bored,video2056010134,au17,1).
entry(00805,begin_of_activity,bored,video2056010134,au23,1).
entry(00900,begin_of_activity,bored,video2056010134,au04,5).
entry(00901,end_of_activity,bored,video2056010134,au10,1).
entry(00902,end_of_activity,bored,video2056010134,au11,4).
entry(00903,end_of_activity,bored,video2056010134,au14,4).
entry(00904,end_of_activity,bored,video2056010134,au23,1).
entry(00905,begin_of_activity,bored,video2056010134,au24,3).
entry(01000,end_of_activity,bored,video2056010134,au04,5).
entry(01001,begin_of_activity,bored,video2056010134,au11,5).
entry(01002,begin_of_activity,bored,video2056010134,au15,3).
entry(01003,begin_of_activity,bored,video2056010134,au23,2).
entry(01004,end_of_activity,bored,video2056010134,au24,3).
entry(01100,begin_of_activity,bored,video2056010134,au04,6).
entry(01101,end_of_activity,bored,video2056010134,au11,5).
entry(01102,begin_of_activity,bored,video2056010134,au14,5).
entry(01103,end_of_activity,bored,video2056010134,au15,3).
entry(01104,end_of_activity,bored,video2056010134,au23,2).
entry(01105,begin_of_activity,bored,video2056010134,au24,4).
entry(01200,begin_of_activity,bored,video2056010134,au02,1).
entry(01201,end_of_activity,bored,video2056010134,au04,6).
entry(01202,begin_of_activity,bored,video2056010134,au10,2).
entry(01203,end_of_activity,bored,video2056010134,au14,5).
entry(01204,begin_of_activity,bored,video2056010134,au15,4).
entry(01205,end_of_activity,bored,video2056010134,au24,4).
entry(01300,end_of_activity,bored,video2056010134,au02,1).
entry(01301,begin_of_activity,bored,video2056010134,au04,7).
entry(01302,begin_of_activity,bored,video2056010134,au07,1).
entry(01303,end_of_activity,bored,video2056010134,au10,2).
entry(01304,begin_of_activity,bored,video2056010134,au11,6).
entry(01305,begin_of_activity,bored,video2056010134,au14,6).
entry(01306,end_of_activity,bored,video2056010134,au15,4).
entry(01307,begin_of_activity,bored,video2056010134,au24,5).
entry(01400,end_of_activity,bored,video2056010134,au04,7).
entry(01401,end_of_activity,bored,video2056010134,au07,1).
entry(01402,end_of_activity,bored,video2056010134,au11,6).
entry(01403,end_of_activity,bored,video2056010134,au14,6).
entry(01404,begin_of_activity,bored,video2056010134,au15,5).
entry(01405,end_of_activity,bored,video2056010134,au24,5).
entry(01500,begin_of_activity,bored,video2056010134,au04,8).
entry(01501,begin_of_activity,bored,video2056010134,au11,7).
entry(01502,end_of_activity,bored,video2056010134,au15,5).
entry(01503,begin_of_activity,bored,video2056010134,au24,6).
entry(01600,end_of_activity,bored,video2056010134,au04,8).
entry(01601,end_of_activity,bored,video2056010134,au11,7).
entry(01602,begin_of_activity,bored,video2056010134,au14,7).
entry(01603,end_of_activity,bored,video2056010134,au24,6).
entry(01700,begin_of_activity,bored,video2056010134,au04,9).
entry(01701,begin_of_activity,bored,video2056010134,au07,2).
entry(01702,end_of_activity,bored,video2056010134,au14,7).
entry(01703,begin_of_activity,bored,video2056010134,au15,6).
